IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
31169;;;590000;2;494+250;e953940a-6667-11e3-a7ff-01f464e0362d;581465.2009000033;6453817.750500001;1.49097530811767;45.173470939269734;45.1734709393,1.49097530812;45.1734709393,1.49097530812;"{""type"": ""Point"", ""coordinates"": [1.490975308117669, 45.17347093925062]}"
34540;de Guimiliau;CD 31;420000;1;581+438;e6f46686-6667-11e3-a7ff-01f464e0362d;183740.77139999717;6843421.727299999;-3.99536627012859;48.485107568928136;48.4851075689,-3.99536627013;48.4851075689,-3.99536627013;"{""type"": ""Point"", ""coordinates"": [-3.995366270128594, 48.48510756890414]}"
31896;;;702000;1;402+215;e5945f36-6667-11e3-a7ff-01f464e0362d;615354.9090000018;6563043.5077;1.903031585221478;46.16192323070668;46.1619232307,1.90303158522;46.1619232307,1.90303158522;"{""type"": ""Point"", ""coordinates"": [1.903031585221477, 46.161923230690384]}"
36560;;;523000;1;012+316;e9843dcc-6667-11e3-a7ff-01f464e0362d;418676.08129999787;6694162.742400002;-0.723517857413571;47.2880729110324;47.288072911,-0.723517857414;47.288072911,-0.723517857414;"{""type"": ""Point"", ""coordinates"": [-0.723517857413573, 47.28807291100192]}"
41697;;CD 200;830000;1;210+872;e5c52aa4-6667-11e3-a7ff-01f464e0362d;782105.0354000032;6744618.68;4.096736009033899;47.79683066632453;47.7968306663,4.09673600903;47.7968306663,4.09673600903;"{""type"": ""Point"", ""coordinates"": [4.096736009033899, 47.79683066629688]}"
69053;Pont de L'Autoroute-A7;Autoroute A 7;830000;1;696+260;e9a567bc-6667-11e3-a7ff-01f464e0362d;836872.2185999975;6352149.528700002;4.714307011897098;44.254990212042394;44.254990212,4.7143070119;44.254990212,4.7143070119;"{""type"": ""Point"", ""coordinates"": [4.714307011897098, 44.254990212020786]}"
32617;OA n°3213;Sentier de Lille-Lomme;216000;1;021+242;e67f97b0-6667-11e3-a7ff-01f464e0362d;696993.5582000017;7061823.912099998;2.957560773844269;50.65332245752981;50.6533224575,2.95756077384;50.6533224575,2.95756077384;"{""type"": ""Point"", ""coordinates"": [2.957560773844269, 50.653322457516204]}"
175171;PRO 0065;VC1;408000;1;006+495;ff9a4fae-6b9b-11e7-beff-010c64e0362d;506033.04630000144;6777784.189599998;0.39520217537495;48.071639698304864;48.0716396983,0.395202175375;48.0716396983,0.395202175375;"{""type"": ""Point"", ""coordinates"": [0.395202175374949, 48.07163969827869]}"
65862;Champ-Gaillard;Rue Claude-Perry;830000;1;381+727;e6b51fec-6667-11e3-a7ff-01f464e0362d;840284.9818999991;6633160.124200001;4.838992758514522;46.78387205638421;46.7838720564,4.83899275851;46.7838720564,4.83899275851;"{""type"": ""Point"", ""coordinates"": [4.838992758514522, 46.78387205636973]}"
31480;;;606000;1;462+026;e945b638-6667-11e3-a7ff-01f464e0362d;559845.1339000016;6536260.180599999;1.191795511834379;45.91158525358195;45.9115852536,1.19179551183;45.9115852536,1.19179551183;"{""type"": ""Point"", ""coordinates"": [1.191795511834378, 45.91158525356492]}"
