GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;PK;LIBELLE;RG_TRONCON;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
31C8B9C2AB4611E680FF013864E0362D;172064;566000;Ligne SEA-Atlantique (LGV);054+970;Mondion;1;31c8b9c2-ab46-11e6-80ff-013864e0362d;506133.8445999995;6650671.329700001;0.451625997334679;46.928078777344595;46.9280787773,0.451625997335;46.9280787773,0.451625997335;"{""type"": ""Point"", ""coordinates"": [0.451625997334678, 46.92807877733055]}"
1442C8CE666811E38CFF01F464E0362D;29448;890000;Ligne de Lyon-Perrache à Genève (frontière);101+670;Culoz;1;1442c8ce-6668-11e3-8cff-01f464e0362d;915952.0754000023;6530954.927499998;5.783020679486652;45.84399038480873;45.8439903848,5.78302067949;45.8439903848,5.78302067949;"{""type"": ""Point"", ""coordinates"": [5.783020679486652, 45.84399038479152]}"
14408022666811E38CFF01F464E0362D;29494;830000;Ligne de Paris-Lyon à Marseille-St-Charles;861+050;Marseille-St-Charles;1;14408022-6668-11e3-8cff-01f464e0362d;894057.0952000022;6248421.1197;5.390836224148898;43.308509170561585;43.3085091706,5.39083622415;43.3085091705,5.39083622415;"{""type"": ""Point"", ""coordinates"": [5.390836224148897, 43.30850917053761]}"
1441DA32666811E38CFF01F464E0362D;29455;900000;Ligne de Culoz à Modane (frontière);233+050;Le Freney;1;1441da32-6668-11e3-8cff-01f464e0362d;984575.803199999;6461613.1435;6.62528589746116;45.19502930925863;45.1950293093,6.62528589746;45.1950293092,6.62528589746;"{""type"": ""Point"", ""coordinates"": [6.62528589746116, 45.19502930923957]}"
14445B5A666811E38CFF01F464E0362D;85308;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;212+029;Castelnaudary;1;14445b5a-6668-11e3-8cff-01f464e0362d;564061.4534000009;6320206.855;1.305965307554866;43.967739851445316;43.9677398514,1.30596530755;43.9677398514,1.30596530755;"{""type"": ""Point"", ""coordinates"": [1.305965307554865, 43.96773985142298]}"
143FBD3E666811E38CFF01F464E0362D;29326;830000;Ligne de Paris-Lyon à Marseille-St-Charles;033+674;Lieusaint;1;143fbd3e-6668-11e3-8cff-01f464e0362d;669119.3030999973;6833653.877099998;2.58117302058519;48.60234894748727;48.6023489475,2.58117302059;48.6023489475,2.58117302059;"{""type"": ""Point"", ""coordinates"": [2.581173020585189, 48.6023489474639]}"
14428604666811E38CFF01F464E0362D;29486;830000;Ligne de Paris-Lyon à Marseille-St-Charles;699+091;Mondragon;1;14428604-6668-11e3-8cff-01f464e0362d;836817.009800002;6349435.1184;4.712878374103543;44.23057411816031;44.2305741182,4.7128783741;44.2305741181,4.7128783741;"{""type"": ""Point"", ""coordinates"": [4.712878374103543, 44.23057411813864]}"
14430FAC666811E38CFF01F464E0362D;29212;655000;Ligne de Bordeaux-St-Jean à Irun;042+685;Lamothe;1;14430fac-6668-11e3-8cff-01f464e0362d;382642.67059999704;6399413.440000001;-1.002087871153464;44.621418363436746;44.6214183634,-1.00208787115;44.6214183634,-1.00208787115;"{""type"": ""Point"", ""coordinates"": [-1.002087871153465, 44.62141836341612]}"
14412800666811E38CFF01F464E0362D;29257;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;476+325;Estivaux;2;14412800-6668-11e3-8cff-01f464e0362d;580402.5908000022;6470069.0956000015;1.473451717245614;45.31959170905405;45.3195917091,1.47345171725;45.319591709,1.47345171725;"{""type"": ""Point"", ""coordinates"": [1.473451717245613, 45.31959170903534]}"
14431366666811E38CFF01F464E0362D;29300;745000;Ligne de Villeneuve-St-Georges à Montargis;026+370;Ris-Orangis;1;14431366-6668-11e3-8cff-01f464e0362d;657585.7251000032;6839590.543000001;2.42416367856938;48.655094696595974;48.6550946966,2.42416367857;48.6550946966,2.42416367857;"{""type"": ""Point"", ""coordinates"": [2.424163678569379, 48.65509469657287]}"
1443228A666811E38CFF01F464E0362D;29422;830000;Ligne de Paris-Lyon à Marseille-St-Charles;469+650;St-Georges-de-Reneins;1;1443228a-6668-11e3-8cff-01f464e0362d;832690.0684999973;6551417.197000001;4.716178079328316;46.04953906747948;46.0495390675,4.71617807933;46.0495390675,4.71617807933;"{""type"": ""Point"", ""coordinates"": [4.716178079328317, 46.04953906746286]}"
14408A6E666811E38CFF01F464E0362D;29510;722000;Ligne de Béziers à Neussargues;555+403;Aguessac;1;14408a6e-6668-11e3-8cff-01f464e0362d;707895.4883999974;6338914.2335;3.098698234275453;44.149190128960434;44.149190129,3.09869823428;44.1491901289,3.09869823428;"{""type"": ""Point"", ""coordinates"": [3.098698234275453, 44.149190128938564]}"
1442EF84666811E38CFF01F464E0362D;29353;830000;Ligne de Paris-Lyon à Marseille-St-Charles;437+130;Flacé-lés-Mâcon;1;1442ef84-6668-11e3-8cff-01f464e0362d;841308.0640999973;6582137.383000001;4.836843206542467;46.32435355161171;46.3243535516,4.83684320654;46.3243535516,4.83684320654;"{""type"": ""Point"", ""coordinates"": [4.836843206542466, 46.32435355159588]}"
14414C32666811E38CFF01F464E0362D;29109;340000;Ligne de Paris-St-Lazare au Havre;150+196;Malaunay;1;14414c32-6668-11e3-8cff-01f464e0362d;557497.4534000009;6937872.035700001;1.03243523929665;49.52418532042107;49.5241853204,1.0324352393;49.5241853204,1.0324352393;"{""type"": ""Point"", ""coordinates"": [1.032435239296648, 49.5241853204023]}"
14441D72666811E38CFF01F464E0362D;29262;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;537+178;Souillac;2;14441d72-6668-11e3-8cff-01f464e0362d;578749.3774000034;6423784.907499999;1.463846919374245;44.902639063462466;44.9026390635,1.46384691937;44.9026390634,1.46384691937;"{""type"": ""Point"", ""coordinates"": [1.463846919374244, 44.902639063442614]}"
144422B2666811E38CFF01F464E0362D;29213;655000;Ligne de Bordeaux-St-Jean à Irun;220+015;St-Jean-de-Luz;1;144422b2-6668-11e3-8cff-01f464e0362d;322693.6545000002;6265346.9657999985;-1.656847644073357;43.38708719150096;43.3870871915,-1.65684764407;43.3870871915,-1.65684764407;"{""type"": ""Point"", ""coordinates"": [-1.656847644073359, 43.38708719147718]}"
143FC944666811E38CFF01F464E0362D;29496;830000;Ligne de Paris-Lyon à Marseille-St-Charles;792+834;St-Martin-de-Crau;1;143fc944-6668-11e3-8cff-01f464e0362d;845683.2795000002;6281908.0447;4.804525051069748;43.62123924387732;43.6212392439,4.80452505107;43.6212392439,4.80452505107;"{""type"": ""Point"", ""coordinates"": [4.804525051069747, 43.62123924385409]}"
14415288666811E38CFF01F464E0362D;29106;334000;Ligne de Paris-St-Lazare à Mantes-Station par Conflans-Ste-Honorine;004+439;Asnières;1;14415288-6668-11e3-8cff-01f464e0362d;647597.8395999968;6867473.512400001;2.285143088259575;48.90512647381093;48.9051264738,2.28514308826;48.9051264738,2.28514308826;"{""type"": ""Point"", ""coordinates"": [2.285143088259573, 48.90512647378909]}"
1441A0CA666811E38CFF01F464E0362D;29325;830000;Ligne de Paris-Lyon à Marseille-St-Charles;021+980;Brunoy;1;1441a0ca-6668-11e3-8cff-01f464e0362d;664070.7035999969;6843843.510299999;2.511847429093819;48.69374071640221;48.6937407164,2.51184742909;48.6937407164,2.51184742909;"{""type"": ""Point"", ""coordinates"": [2.511847429093818, 48.69374071637932]}"
14442E44666811E38CFF01F464E0362D;29197;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;012+491;Eyrans;1;14442e44-6668-11e3-8cff-01f464e0362d;421970.96940000355;6408683.734000001;-0.512026830659863;44.721622876392495;44.7216228764,-0.51202683066;44.7216228764,-0.51202683066;"{""type"": ""Point"", ""coordinates"": [-0.512026830659865, 44.72162287637214]}"
1441A4EE666811E38CFF01F464E0362D;29078;991301;Raccordement de Gagny-Nord;000+233;Avron;1;1441a4ee-6668-11e3-8cff-01f464e0362d;665310.2204999998;6863839.198399998;2.527060556495997;48.87364221191495;48.8736422119,2.5270605565;48.8736422119,2.5270605565;"{""type"": ""Point"", ""coordinates"": [2.527060556495996, 48.873642211892964]}"
1444792A666811E38CFF01F464E0362D;29256;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;461+940;Le Bradascou;2;1444792a-6668-11e3-8cff-01f464e0362d;586680.0995000005;6482224.823100001;1.550712305057924;45.430093609728885;45.4300936097,1.55071230506;45.4300936097,1.55071230506;"{""type"": ""Point"", ""coordinates"": [1.550712305057923, 45.43009360971049]}"
1441E9FE666811E38CFF01F464E0362D;85294;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;193+796;Lavilledieu;1;1441e9fe-6668-11e3-8cff-01f464e0362d;555408.6081999987;6327983.1426;1.195958290170357;44.03598383954785;44.0359838395,1.19595829017;44.0359838395,1.19595829017;"{""type"": ""Point"", ""coordinates"": [1.195958290170355, 44.03598383952567]}"
1441154C666811E38CFF01F464E0362D;29214;655000;Ligne de Bordeaux-St-Jean à Irun;004+000;Medoquine;1;1441154c-6668-11e3-8cff-01f464e0362d;415607.71599999815;6419573.7173000015;-0.598561550359365;44.8169885016792;44.8169885017,-0.598561550359;44.8169885017,-0.598561550359;"{""type"": ""Point"", ""coordinates"": [-0.598561550359367, 44.81698850165909]}"
