IDRESEAU;LIBELLE;CODE_LIGNE;LONGUEUR;OBSTACLE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
69609;Fromentino;946000;647;;1;082+427;e9a1cad4-6667-11e3-a7ff-01f464e0362d;1062744.0143000036;6322471.355300002;7.517805999668838;43.90782772378164;43.9078277238,7.51780599967;43.9078277238,7.51780599967;"{""type"": ""Point"", ""coordinates"": [7.517805999668837, 43.907827723759134]}"
63722;Fossats;790000;259;;1;643+188;e961c132-6667-11e3-a7ff-01f464e0362d;777099.5411000028;6358576.092;3.966751000717365;44.32196355506666;44.3219635551,3.96675100072;44.321963555,3.96675100072;"{""type"": ""Point"", ""coordinates"": [3.966751000717364, 44.32196355504522]}"
69524;Anthénor 1;935000;75;;1;859+146;e601c82a-6667-11e3-a7ff-01f464e0362d;878715.9760000035;6250762.993299998;5.202736328099877;43.33358094016222;43.3335809402,5.2027363281;43.3335809401,5.2027363281;"{""type"": ""Point"", ""coordinates"": [5.202736328099877, 43.333580940138305]}"
39791;Coudoulous;724000;787;Gabarit à 1 voie;1;686+571;e98ac4a4-6667-11e3-a7ff-01f464e0362d;592920.0186000019;6376137.4102;1.653632570034773;44.47607697080369;44.4760769708,1.65363257003;44.4760769708,1.65363257003;"{""type"": ""Point"", ""coordinates"": [1.653632570034772, 44.47607697078266]}"
179558;TUNNEL Km 218,580;431000;208;;1;218+580;7c33ecb4-839e-11e8-93ff-01a864e0362d;532443.324000001;6697186.865800001;0.780084123553736;47.353815776883266;47.3538157769,0.780084123554;47.3538157769,0.780084123554;"{""type"": ""Point"", ""coordinates"": [0.780084123553734, 47.35381577685316]}"
69585;Rioro;946000;1828;;1;055+611;e64aa13a-6667-11e3-a7ff-01f464e0362d;1067708.3315000013;6339592.9717999995;7.591882897601379;44.05908716107076;44.0590871611,7.5918828976;44.059087161,7.5918828976;"{""type"": ""Point"", ""coordinates"": [7.591882897601378, 44.05908716104865]}"
45730;Lasbrairies;719000;244;Gabarit à 1 voie;1;681+843;e6eab5f4-6667-11e3-a7ff-01f464e0362d;631622.264700003;6432069.132599998;2.132478472525066;44.984464315484416;44.9844643155,2.13247847253;44.9844643155,2.13247847253;"{""type"": ""Point"", ""coordinates"": [2.132478472525065, 44.984464315464784]}"
66599;St-Claude n°1;856000;17;Gabarit à 2 voies;1;406+927;e61ed552-6667-11e3-a7ff-01f464e0362d;928462.4223999977;6688231.456;6.021618946647105;47.25504425131009;47.2550442513,6.02161894665;47.2550442513,6.02161894665;"{""type"": ""Point"", ""coordinates"": [6.021618946647107, 47.25504425127943]}"
63749;Malpas;640000;502;;1;422+552;e61ed378-6667-11e3-a7ff-01f464e0362d;710097.9858999997;6245066.2359;3.124382735316431;43.30468807118716;43.3046880712,3.12438273532;43.3046880712,3.12438273532;"{""type"": ""Point"", ""coordinates"": [3.12438273531643, 43.30468807116319]}"
63736;la Grotte;722000;76;;1;574+796;e858deb0-6667-11e3-a7ff-01f464e0362d;706006.9108000025;6354029.2958;3.075270035041883;44.285258905034276;44.285258905,3.07527003504;44.285258905,3.07527003504;"{""type"": ""Point"", ""coordinates"": [3.075270035041883, 44.285258905012746]}"
39526;Cornus;718000;77;Gabarit à 2 voies;1;285+385;e6a1d4be-6667-11e3-a7ff-01f464e0362d;620217.5283000022;6350724.424600001;2.000856958001257;44.2509933836301;44.2509933836,2.000856958;44.2509933836,2.000856958;"{""type"": ""Point"", ""coordinates"": [2.000856958001256, 44.250993383608495]}"
46743;de Graves;785000;315;Gabarit à 1 voie;1;419+741;e9397cb6-6667-11e3-a7ff-01f464e0362d;743321.8734000027;6511357.4065999985;3.556738861038707;45.700414172278215;45.7004141723,3.55673886104;45.7004141723,3.55673886104;"{""type"": ""Point"", ""coordinates"": [3.556738861038707, 45.70041417226058]}"
39316;Les Forges;701000;350;Gabarit à 1 voie;1;264+211;e879704e-6667-11e3-a7ff-01f464e0362d;641449.2917999998;6380946.6928;2.263199876858576;44.52513000248457;44.5251300025,2.26319987686;44.5251300025,2.26319987686;"{""type"": ""Point"", ""coordinates"": [2.263199876858575, 44.525130002463676]}"
37608;La Porte-aux-Boeufs;590000;222;Gabarit à 2 voies;2;202+054;e57978fa-6667-11e3-a7ff-01f464e0362d;629370.577200003;6680976.646899998;2.066585097464626;47.225331077679975;47.2253310777,2.06658509746;47.2253310776,2.06658509746;"{""type"": ""Point"", ""coordinates"": [2.066585097464625, 47.22533107764915]}"
48464;Cevins;899000;151;Gabarit à 1 voie;1;037+034;e56abd9e-6667-11e3-a7ff-01f464e0362d;968773.7114999965;6505295.461100001;6.448528266283477;45.59434439645252;45.5943443965,6.44852826628;45.5943443964,6.44852826628;"{""type"": ""Point"", ""coordinates"": [6.448528266283477, 45.59434439643458]}"
31091;Theil 1;590000;127;Gabarit à 2 voies;2;473+606;e5911db0-6667-11e3-a7ff-01f464e0362d;581999.7136000022;6472194.965599999;1.493314810243952;45.339006624396305;45.3390066244,1.49331481024;45.3390066244,1.49331481024;"{""type"": ""Point"", ""coordinates"": [1.49331481024395, 45.33900662437766]}"
39590;Souel;718000;1504;Gabarit à 1 voie;1;325+357;e6f1fc1c-6667-11e3-a7ff-01f464e0362d;615835.192900002;6326608.909600001;1.949997499901211;44.033445522635205;44.0334455226,1.9499974999;44.0334455226,1.9499974999;"{""type"": ""Point"", ""coordinates"": [1.94999749990121, 44.03344552261303]}"
44268;Petit-Vienne;830000;208;Gabarit à 2 voies;1;541+182;e6b1c780-6667-11e3-a7ff-01f464e0362d;846307.5063000023;6494141.075800002;4.874654791091901;45.53112028087482;45.5311202809,4.87465479109;45.5311202809,4.87465479109;"{""type"": ""Point"", ""coordinates"": [4.874654791091902, 45.53112028085672]}"
