IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
59572;Passerelle voyageurs;070000;1;288+700;e688c9d0-6667-11e3-a7ff-01f464e0362d;886438.7863000035;6858228.6592000015;5.538489116582143;48.79716491857148;48.7971649186,5.53848911658;48.7971649185,5.53848911658;"{""type"": ""Point"", ""coordinates"": [5.538489116582143, 48.79716491854911]}"
59975;Passerelle voyageurs;090000;1;344+725;e9695918-6667-11e3-a7ff-01f464e0362d;930014.0512999967;6857078.3257;6.130612071712375;48.77276014678103;48.7727601468,6.13061207171;48.7727601468,6.13061207171;"{""type"": ""Point"", ""coordinates"": [6.130612071712376, 48.772760146758536]}"
58692;Passerelle voyageurs;272000;1;139+468;e86db788-6667-11e3-a7ff-01f464e0362d;664194.7206000015;6979438.385299999;2.501911696772101;49.91260365480162;49.9126036548,2.50191169677;49.9126036548,2.50191169677;"{""type"": ""Point"", ""coordinates"": [2.5019116967721, 49.91260365478468]}"
38393;;640000;1;178+375;e96e00e2-6667-11e3-a7ff-01f464e0362d;546704.610799998;6335971.0011;1.08498476337368;44.10601212375848;44.1060121238,1.08498476337;44.1060121237,1.08498476337;"{""type"": ""Point"", ""coordinates"": [1.084984763373679, 44.10601212373649]}"
42084;;750000;1;537+625;e5cba1d0-6667-11e3-a7ff-01f464e0362d;837526.3224999979;6499872.890500002;4.763819303738551;45.58454166160571;45.5845416616,4.76381930374;45.5845416616,4.76381930374;"{""type"": ""Point"", ""coordinates"": [4.763819303738551, 45.58454166158775]}"
59974;Passerelle piétons;090000;1;344+645;e64b1bfa-6667-11e3-a7ff-01f464e0362d;929994.0095999986;6857000.2685;6.130297484875398;48.772065805475854;48.7720658055,6.13029748488;48.7720658055,6.13029748488;"{""type"": ""Point"", ""coordinates"": [6.1302974848754, 48.772065805453344]}"
44819;Passerelle piétons La Verpillière;905000;1;030+430;e62c610e-6667-11e3-a7ff-01f464e0362d;867612.8150999993;6505360.688299999;5.151431777996647;45.627227037068934;45.6272270371,5.151431778;45.6272270371,5.151431778;"{""type"": ""Point"", ""coordinates"": [5.151431777996646, 45.62722703705111]}"
57247;Passerelle voyageurs;366000;1;224+944;e6e8f9be-6667-11e3-a7ff-01f464e0362d;467368.86069999635;6894859.626699999;-0.186936748777112;49.1112952482127;49.1112952482,-0.186936748777;49.1112952482,-0.186936748777;"{""type"": ""Point"", ""coordinates"": [-0.186936748777114, 49.1112952481919]}"
44404;Gervans;830000;1;594+132;e5a925cc-6667-11e3-a7ff-01f464e0362d;843799.0927999988;6447182.1548999995;4.82859459161788;45.108929469820715;45.1089294698,4.82859459162;45.1089294698,4.82859459162;"{""type"": ""Point"", ""coordinates"": [4.828594591617879, 45.10892946980141]}"
57732;Passerelle voyageurs;390000;1;207+569;e669e916-6667-11e3-a7ff-01f464e0362d;495706.4817999974;6913368.5689;0.191912992246068;49.28724489961464;49.2872448996,0.191912992246;49.2872448996,0.191912992246;"{""type"": ""Point"", ""coordinates"": [0.191912992246066, 49.287244899594725]}"
